Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Dificultad,Calificacion,Optional Column
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:22:36,00:22:36,0.000,11,corto,5,9,11,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:22:39,00:22:39,0.000,11,medio,10,5,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:22:50,00:22:50,0.000,14,corto,9,5,17,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:22:59,00:22:59,0.000,17,corto,10,11,16,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Remate pie,,00:23:02,00:23:02,0.000,16,Larga distancia,Rival,10,22,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:23:03,00:23:03,0.000,16,Balon afuera fondo,Rival,10,22,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:24:16,00:24:16,0.000,8,medio,11,10,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:24:16,00:24:16,0.000,8,Interceptado,11,10,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,00:25:18,00:25:18,0.000,7,Recibida,,8,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:25:53,00:25:53,0.000,12,corto,4,7,9,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:25:56,00:25:56,0.000,9,corto,Rival,4,12,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:25:57,00:25:57,0.000,9,Interceptado,Rival,4,12,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Despeje,,00:27:36,00:27:36,0.000,8,Despeje,Rival,9,18,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:27:44,00:27:44,0.000,12,corto,4,8,9,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:27:47,00:27:47,0.000,9,medio,10,4,15,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:27:47,00:27:47,0.000,9,Interceptado,10,4,15,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,00:28:35,00:28:35,0.000,9,Recibida,,4,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:30:01,00:30:01,0.000,23,corto,11,9,21,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:30:54,00:30:54,0.000,15,medio,7,9,17,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:30:54,00:30:54,0.000,15,Interceptado,7,9,17,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:31:10,00:31:10,0.000,10,inteligente,10,3,16,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:31:16,00:31:16,0.000,19,corto,3,10,16,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:31:18,00:31:18,0.000,16,centro aereo,9,3,22,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:31:18,00:31:18,0.000,16,Interceptado,9,3,22,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:31:57,00:31:57,0.000,13,corto,11,9,10,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,00:31:59,00:31:59,0.000,10,Recibida,,11,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:32:27,00:32:27,0.000,10,corto,4,6,8,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:32:30,00:32:30,0.000,8,corto,5,4,12,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:32:33,00:32:33,0.000,11,medio,2,5,10,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:32:35,00:32:35,0.000,11,medio,3,2,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:32:40,00:32:40,0.000,16,corto,10,3,19,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:32:41,00:32:41,0.000,19,medio,8,10,21,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:32:53,00:32:53,0.000,11,corto,7,8,12,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:32:59,00:32:59,0.000,12,medio,6,7,9,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:33:03,00:33:03,0.000,8,medio,3,6,10,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:33:09,00:33:09,0.000,13,corto,10,3,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:33:13,00:33:13,0.000,13,medio,2,10,10,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:33:16,00:33:16,0.000,10,largo,Rival,2,16,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:33:17,00:33:17,0.000,10,Error tecnico,Rival,2,16,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:33:28,00:33:28,0.000,16,corto,2,10,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:33:45,00:33:45,0.000,14,inteligente,9,5,18,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Arquero,,00:34:36,00:34:36,0.000,3,Mano a mano,,1,Volver,,Malo,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Gol rival,,00:34:36,00:34:36,0.000,4,Indirecta,,,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,00:36:08,00:36:08,0.000,13,Hecha,,2,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:36:54,00:36:54,0.000,8,corto,1,2,4,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:36:55,00:36:55,0.000,4,largo,9,1,14,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:36:59,00:36:59,0.000,14,corto,7,9,18,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:37:09,00:37:09,0.000,18,corto,10,7,18,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:37:10,00:37:10,0.000,18,corto,4,10,24,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:37:10,00:37:10,0.000,18,Interceptado,,10,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:37:28,00:37:28,0.000,17,corto,10,8,17,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:37:30,00:37:30,0.000,17,corto,3,10,17,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Remate pie,,00:37:33,00:37:33,0.000,17,Media distancia,Rival,3,22,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:37:33,00:37:33,0.000,17,Balon afuera fondo,,3,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:38:40,00:38:40,0.000,9,corto,6,4,6,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:38:42,00:38:42,0.000,9,Error tecnico,,4,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:38:46,00:38:46,0.000,17,largo,9,2,11,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:38:47,00:38:47,0.000,11,corto,5,9,11,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:38:50,00:38:50,0.000,11,inteligente,11,5,17,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,00:38:56,00:38:56,0.000,17,Recibida,,11,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:42:03,00:42:03,0.000,2,medio,10,2,10,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,00:42:39,00:42:39,0.000,9,Recibida,,6,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:43:09,00:43:09,0.000,17,corto,11,9,17,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:43:13,00:43:13,0.000,17,corto,4,9,18,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:45:14,00:45:14,0.000,3,S arquero mano,6,1,5,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:45:19,00:45:19,0.000,9,largo,7,6,15,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:45:20,00:45:20,0.000,9,Interceptado,7,6,15,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:45:27,00:45:27,0.000,4,S arquero mano,2,1,8,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:45:33,00:45:33,0.000,8,largo,10,2,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:45:37,00:45:37,0.000,13,inteligente,11,10,19,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,00:45:43,00:45:43,0.000,19,Recibida,,11,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:46:55,00:46:55,0.000,3,S arquero mano,10,1,7,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:47:00,00:47:00,0.000,7,corto,3,10,7,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:47:03,00:47:03,0.000,7,corto,8,3,7,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:47:06,00:47:06,0.000,7,corto,1,8,4,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:47:08,00:47:08,0.000,4,largo,11,1,14,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:47:09,00:47:09,0.000,4,Interceptado,11,1,14,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:47:16,00:47:16,0.000,15,corto,11,4,15,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:47:19,00:47:19,0.000,15,corto,5,11,14,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:47:24,00:47:24,0.000,14,largo,3,5,16,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:47:24,00:47:24,0.000,14,Interceptado,11,5,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:48:49,00:48:49,0.000,13,corto,5,8,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:48:54,00:48:54,0.000,17,corto,7,5,18,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Remate pie,,00:48:56,00:48:56,0.000,18,Media distancia,Rival,7,23,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:48:57,00:48:57,0.000,18,Balon afuera fondo,Rival,7,23,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,00:49:36,00:49:36,0.000,15,Recibida,,7,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:50:07,00:50:07,0.000,9,corto,1,6,4,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:50:10,00:50:10,0.000,4,medio,6,1,9,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:50:17,00:50:17,0.000,9,largo,11,6,18,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:50:17,00:50:17,0.000,9,Interceptado,11,6,18,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:50:37,00:50:37,0.000,7,largo,11,3,14,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:50:38,00:50:38,0.000,7,Interceptado,11,3,14,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:50:42,00:50:42,0.000,10,corto,10,9,10,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:50:44,00:50:44,0.000,10,corto,8,10,11,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:50:46,00:50:46,0.000,11,corto,3,8,7,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:50:49,00:50:49,0.000,7,corto,2,3,2,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:50:52,00:50:52,0.000,2,corto,1,2,3,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:50:55,00:50:55,0.000,4,largo,11,1,11,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:50:57,00:50:57,0.000,4,Interceptado,11,1,11,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:51:25,00:51:25,0.000,17,corto,10,3,16,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:51:26,00:51:26,0.000,16,centro aereo,Rival,10,20,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:51:27,00:51:27,0.000,16,Interceptado,Rival,10,20,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:51:31,00:51:31,0.000,16,corto,8,10,16,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:51:32,00:51:32,0.000,16,centro aereo,9,8,21,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:51:32,00:51:32,0.000,16,Interceptado,9,8,21,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,00:51:47,00:51:47,0.000,16,Hecha,,5,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:52:25,00:52:25,0.000,8,medio,7,8,12,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:52:29,00:52:29,0.000,12,corto,4,7,12,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:52:33,00:52:33,0.000,12,corto,6,4,9,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:52:38,00:52:38,0.000,9,largo,Rival,6,15,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:52:38,00:52:38,0.000,9,Balon afuera lateral,Rival,6,15,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:53:36,00:53:36,0.000,5,largo,3,1,10,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:53:38,00:53:38,0.000,10,corto,10,3,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:53:46,00:53:46,0.000,16,inteligente,11,10,17,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Remate pie,,00:53:48,00:53:48,0.000,17,Media distancia,Rival,11,22,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:53:49,00:53:49,0.000,17,Balon afuera fondo,Rival,11,22,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:54:55,00:54:55,0.000,8,corto,1,2,4,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:54:58,00:54:58,0.000,4,corto,2,1,7,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:55:04,00:55:04,0.000,10,corto,Rival,2,10,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:55:04,00:55:04,0.000,10,Interceptado,,2,Volver,,,
