Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas_final,Jugador2,Calificacion,Zonas,Jugador,Categoria,Optional Column
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:18:29,00:18:29,0.000,11,5,,14,9,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:18:33,00:18:33,0.000,9,4,,11,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:18:38,00:18:38,0.000,15,9,,9,4,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:19:05,00:19:05,0.000,18,8,,18,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:19:10,00:19:10,0.000,14,5,,17,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:19:13,00:19:13,0.000,13,3,,14,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:19:19,00:19:19,0.000,17,11,,13,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:19:19,00:19:19,0.000,Volver,,,13,3,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:19:32,00:19:32,0.000,12,2,,15,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:19:36,00:19:36,0.000,8,6,,9,2,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:19:40,00:19:40,0.000,13,10,,7,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:19:40,00:19:40,0.000,Volver,,,7,6,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:20:16,00:20:16,0.000,13,11,,3,1,S arquero pie,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:20:17,00:20:17,0.000,Volver,,,3,1,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:20:51,00:20:51,0.000,Volver,,,10,9,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:21:10,00:21:10,0.000,15,4,,10,10,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:21:18,00:21:18,0.000,17,9,,15,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:21:30,00:21:30,0.000,11,6,,13,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:21:34,00:21:34,0.000,18,4,,11,6,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:21:40,00:21:40,0.000,15,2,,18,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:21:44,00:21:44,0.000,13,3,,12,2,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:22:23,00:22:23,0.000,16,11,,13,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:22:25,00:22:25,0.000,Volver,,,16,11,Hecha,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:24:47,00:24:47,0.000,18,9,,15,7,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:24:52,00:24:52,0.000,18,7,,18,9,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:24:53,00:24:53,0.000,17,10,,18,7,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:24:54,00:24:54,0.000,Volver,,,18,7,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:25:08,00:25:08,0.000,10,10,,7,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:25:10,00:25:10,0.000,7,3,,10,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:25:14,00:25:14,0.000,1,6,,7,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:25:21,00:25:21,0.000,9,4,,1,6,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:25:26,00:25:26,0.000,Volver,,,9,4,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:26:31,00:26:31,0.000,16,3,,17,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:26:34,00:26:34,0.000,21,9,,19,3,centro aereo,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:29:49,00:29:49,0.000,9,4,,4,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:29:52,00:29:52,0.000,11,9,,9,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:29:54,00:29:54,0.000,Volver,,,9,4,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:30:08,00:30:08,0.000,18,9,,17,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Remate pie,,00:30:11,00:30:11,0.000,22,Rival,,23,9,Corta distancia,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:30:11,00:30:11,0.000,Volver,,,23,9,Atajada,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:32:00,00:32:00,0.000,11,10,,10,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:32:02,00:32:02,0.000,11,3,,11,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:32:04,00:32:04,0.000,7,2,,7,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:32:07,00:32:07,0.000,8,5,,7,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:32:09,00:32:09,0.000,9,2,,8,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:32:12,00:32:12,0.000,15,4,,12,2,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:32:18,00:32:18,0.000,22,9,,15,4,centro aereo,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:32:18,00:32:18,0.000,Volver,,,15,4,Atajada,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:32:27,00:32:27,0.000,Volver,,,11,6,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:32:40,00:32:40,0.000,8,1,,7,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:32:48,00:32:48,0.000,14,9,,8,1,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:32:49,00:32:49,0.000,17,7,,14,9,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:32:50,00:32:50,0.000,Volver,,,14,9,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:32:54,00:32:54,0.000,Volver,,,14,9,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Remate pie,,00:34:01,00:34:01,0.000,22,Rival,,17,5,Corta distancia,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:34:02,00:34:02,0.000,Volver,,,17,5,Balon afuera fondo,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:37:05,00:37:05,0.000,7,8,,3,1,S arquero pie,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:37:05,00:37:05,0.000,Volver,,,3,1,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:38:23,00:38:23,0.000,14,7,,3,1,largo,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:38:23,00:38:23,0.000,14,7,,17,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:38:25,00:38:25,0.000,17,11,,14,7,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:38:31,00:38:31,0.000,Volver,,,14,7,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:38:36,00:38:36,0.000,11,4,,10,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:38:38,00:38:38,0.000,14,7,,11,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:38:58,00:38:58,0.000,10,10,,10,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:39:27,00:39:27,0.000,Volver,,,16,5,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:41:59,00:41:59,0.000,Volver,,,16,11,Hecha,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:42:22,00:42:22,0.000,Volver,,,10,5,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:42:30,00:42:30,0.000,15,8,,15,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:42:38,00:42:38,0.000,8,6,,14,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:42:38,00:42:38,0.000,8,6,,14,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:42:41,00:42:41,0.000,9,2,,8,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:42:44,00:42:44,0.000,8,1,,9,2,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:42:48,00:42:48,0.000,14,11,,8,1,largo,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:42:49,00:42:49,0.000,Volver,,,14,11,Hecha,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:43:15,00:43:15,0.000,Volver,,,15,8,Hecha,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:44:09,00:44:09,0.000,Volver,,,12,9,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Arquero,,00:44:31,00:44:31,0.000,Volver,,,16,1,Rebote/Despeje,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:45:31,00:45:31,0.000,15,7,,3,1,S arquero pie,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:45:43,00:45:43,0.000,Volver,,,3,1,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:46:27,00:46:27,0.000,7,3,,3,1,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:46:32,00:46:32,0.000,2,1,,7,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:46:44,00:46:44,0.000,10,3,,13,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:46:46,00:46:46,0.000,10,5,,10,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:46:50,00:46:50,0.000,12,4,,11,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:46:56,00:46:56,0.000,18,7,,12,4,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:46:56,00:46:56,0.000,Volver,,,12,4,Balon afuera lateral,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:49:44,00:49:44,0.000,18,5,,18,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Remate pie,,00:49:46,00:49:46,0.000,22,Rival,,17,5,Corta distancia,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:49:46,00:49:46,0.000,Volver,,,17,5,Atajada,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:50:26,00:50:26,0.000,16,10,,24,7,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Remate pie,,00:50:31,00:50:31,0.000,22,Rival,,17,10,Corta distancia,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:50:31,00:50:31,0.000,Volver,,,17,10,Atajada,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Arquero,,00:51:34,00:51:34,0.000,Volver,,,1,1,Rebote/Despeje,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:52:21,00:52:21,0.000,10,10,,10,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:52:17,00:52:17,0.000,10,9,,3,1,S arquero pie,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:52:19,00:52:19,0.000,10,3,,10,9,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:55:11,00:55:11,0.000,2,6,,3,1,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:55:13,00:55:13,0.000,7,3,,2,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:55:17,00:55:17,0.000,16,9,,7,3,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:55:19,00:55:19,0.000,16,11,,16,9,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:55:21,00:55:21,0.000,16,9,,16,11,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:55:23,00:55:23,0.000,16,10,,16,9,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:55:26,00:55:26,0.000,18,8,,17,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:55:32,00:55:32,0.000,15,4,,18,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:55:36,00:55:36,0.000,18,8,,18,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:55:36,00:55:36,0.000,18,4,,18,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:55:37,00:55:37,0.000,18,11,,18,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:55:40,00:55:40,0.000,18,9,,18,11,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:56:36,00:56:36,0.000,Volver,,,24,11,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:59:41,00:59:41,0.000,Volver,,,9,4,Offside,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:00:29,01:00:29,0.000,17,10,,18,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Remate pie,,01:00:31,01:00:31,0.000,22,Rival,,17,10,Corta distancia,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,01:00:32,01:00:32,0.000,Volver,,,17,10,Balon afuera fondo,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,01:19:45,01:19:45,0.000,Volver,,,24,11,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:22:24,01:22:24,0.000,7,6,,3,1,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:22:30,01:22:30,0.000,16,10,,7,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,01:22:31,01:22:31,0.000,Volver,,,7,6,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:22:52,01:22:52,0.000,12,4,,11,7,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:22:56,01:22:56,0.000,12,8,,12,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:23:32,01:23:32,0.000,13,10,,3,1,S arquero pie,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:23:42,01:23:42,0.000,18,4,,17,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:23:46,01:23:46,0.000,17,8,,18,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:23:48,01:23:48,0.000,18,11,,18,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,01:23:48,01:23:48,0.000,Volver,,,18,8,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:23:52,01:23:52,0.000,18,8,,18,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:23:54,01:23:54,0.000,17,9,,18,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:23:55,01:23:55,0.000,17,10,,17,9,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:24:00,01:24:00,0.000,16,3,,17,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:24:08,01:24:08,0.000,21,9,,16,3,centro aereo,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,01:24:09,01:24:09,0.000,Volver,,,16,3,Atajada,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:24:33,01:24:33,0.000,16,10,,16,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:24:38,01:24:38,0.000,10,6,,13,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:24:42,01:24:42,0.000,10,3,,10,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:24:44,01:24:44,0.000,13,10,,13,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:24:47,01:24:47,0.000,10,6,,13,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:24:58,01:24:58,0.000,13,5,,10,6,corto,
