Partido,Situacion,Evento,Subevento,Tiempo_inicial,Tiempo_final,Jugador,Zonas_Inicial,Zonas_Final
Gimnasia,En contra,Pase largo,Ataque Directo,00:31:09,00:31:18,Rival,4,8
Gimnasia,En contra,Pase corto,Ataque Directo,00:31:15,00:31:21,Rival,8,8
Gimnasia,En contra,Remate atajado,Ataque Directo,00:31:19,00:31:25,Rival,8,8
Gimnasia,A favor,Tiro libre,Pelota Parada,00:36:08,00:36:14,5,7,Volver
Gimnasia,A favor,Remate bloq,Pelota Parada,00:36:13,00:36:19,5,7,8
Gimnasia,A favor,Recuperacion,Ataque Directo,00:50:07,00:50:13,3,4,Volver
Gimnasia,A favor,Pase corto,Ataque Directo,00:50:12,00:50:21,3,4,5
Gimnasia,A favor,Pase largo,Ataque Directo,00:50:19,00:50:25,5,5,8
Gimnasia,A favor,Remate Aereo,Ataque Directo,00:50:24,00:50:30,9,8,8
Gimnasia,A favor,Recuperacion,Ataque Directo,01:05:12,01:05:18,3,4,Volver
Gimnasia,A favor,Pase corto,Ataque Directo,01:05:17,01:05:23,5,4,5
Gimnasia,A favor,Remate atajado,Ataque Directo,01:05:21,01:05:27,10,8,8
Gimnasia,En contra,Tiro libre,Pelota Parada,01:33:36,01:33:42,Rival,7,Volver
Gimnasia,En contra,Remate pie,Pelota Parada,01:33:39,01:33:45,Rival,7,8
Gimnasia,En contra,Gol,Pelota Parada,01:33:43,01:33:49,Rival,8,Volver
Gimnasia,En contra,Corner,Pelota Parada,01:38:05,01:38:11,Rival,9,Volver
Gimnasia,En contra,Pase corto,Pelota Parada,01:38:08,01:38:14,Rival,9,9
Gimnasia,En contra,Centro,Pelota Parada,01:38:11,01:38:17,Rival,9,8
Gimnasia,En contra,Remate bloq,Pelota Parada,01:38:15,01:38:21,Rival,8,8
Gimnasia,En contra,Tiro libre,Pelota Parada,01:43:18,01:43:24,Rival,8,Volver
Gimnasia,En contra,Remate atajado,Pelota Parada,01:43:21,01:43:27,Rival,8,8
Gimnasia,En contra,Pase corto,Ataque Directo,01:54:35,01:54:41,Rival,2,5
Gimnasia,En contra,Pase largo,Ataque Directo,01:54:40,01:54:46,Rival,5,7
Gimnasia,En contra,Pase corto,Ataque Directo,01:54:44,01:54:50,Rival,7,8
Gimnasia,En contra,Remate pie,Ataque Directo,01:54:48,01:54:54,Rival,8,8
Gimnasia,En contra,Gol,Ataque Directo,01:54:53,01:54:59,Rival,8,Volver
Lanus,En contra,Pase largo,Ataque Directo,00:01:03,00:01:09,Rival,5,9
Lanus,En contra,Pase largo,Ataque Directo,00:01:09,00:01:15,Rival,9,8
Lanus,En contra,Remate atajado,Ataque Directo,00:01:12,00:01:18,Rival,8,8
Lanus,En contra,Corner,Pelota Parada,00:02:01,00:02:07,Rival,7,Volver
Lanus,En contra,Pase largo,Pelota Parada,00:02:08,00:02:19,Rival,7,8
Lanus,En contra,Remate atajado,Pelota Parada,00:02:16,00:02:22,Rival,8,8
Lanus,A favor,Lateral,Pelota Parada,00:08:27,00:08:33,3,7,Volver
Lanus,A favor,Centro,Pelota Parada,00:08:33,00:08:39,3,7,8
Lanus,A favor,Remate Aereo,Pelota Parada,00:08:38,00:08:44,11,8,8
Lanus,En contra,Pase corto,Ataque combinado,00:11:08,00:11:14,Rival,5,5
Lanus,En contra,Pase corto,Ataque combinado,00:11:15,00:11:21,Rival,5,8
Lanus,En contra,Remate atajado,Ataque combinado,00:11:20,00:11:26,Rival,8,8
Lanus,En contra,Corner,Pelota Parada,00:27:21,00:27:27,Rival,7,Volver
Lanus,En contra,Pase corto,Pelota Parada,00:27:27,00:27:35,Rival,7,7
Lanus,En contra,Centro,Pelota Parada,00:27:32,00:27:41,Rival,7,8
Lanus,En contra,Remate Aereo,Pelota Parada,00:27:40,00:27:46,Rival,8,8
Lanus,En contra,Gol,Pelota Parada,00:27:44,00:27:50,Rival,8,Volver
Lanus,En contra,Pase corto,Ataque combinado,00:35:53,00:35:59,Rival,5,4
Lanus,En contra,Pase corto,Ataque combinado,00:35:57,00:36:03,Rival,4,5
Lanus,En contra,Pase corto,Ataque combinado,00:36:02,00:36:13,Rival,5,8
Lanus,En contra,Pase corto,Ataque combinado,00:36:10,00:36:16,Rival,8,7
Lanus,En contra,Centro,Ataque combinado,00:36:15,00:36:21,Rival,7,8
Lanus,En contra,Remate Aereo,Ataque combinado,00:36:22,00:36:28,Rival,8,8
Lanus,A favor,Recuperacion,Ataque Directo,00:37:08,00:37:14,5,5,Volver
Lanus,A favor,Pase largo,Ataque Directo,00:37:13,00:37:19,5,5,8
Lanus,A favor,Remate pie,Ataque Directo,00:37:18,00:37:24,Suplente 2,8,8
Lanus,A favor,Gol,Ataque Directo,00:37:22,00:37:28,Suplente 2,8,Volver
Lanus,En contra,Lateral,Pelota Parada,00:05:50,00:05:56,Rival,9,Volver
Lanus,En contra,Disputa suelo,Pelota Parada,00:05:55,00:06:01,Rival,9,Volver
Lanus,En contra,Remate atajado,Pelota Parada,00:05:59,00:06:05,Rival,9,8
Lanus,A favor,Pase largo,Ataque Directo,00:08:02,00:08:08,5,5,9
Lanus,A favor,Disputa suelo,Ataque Directo,00:08:07,00:08:13,11,9,Volver
Lanus,A favor,Penal,Ataque Directo,00:08:11,00:08:17,11,9,Volver
Lanus,A favor,Penal,Pelota Parada,00:09:54,00:10:00,7,8,Volver
Lanus,A favor,Gol,Pelota Parada,00:10:01,00:10:07,7,8,Volver
Lanus,En contra,Corner,Pelota Parada,00:19:21,00:19:27,Rival,7,Volver
Lanus,En contra,Centro,Pelota Parada,00:19:27,00:19:33,Rival,7,8
Lanus,En contra,Pase corto,Pelota Parada,00:19:32,00:19:38,Rival,8,9
Lanus,En contra,Pase corto,Pelota Parada,00:19:36,00:19:45,Rival,9,8
Lanus,En contra,Remate bloq,Pelota Parada,00:19:42,00:19:48,Rival,8,8
Lanus,En contra,Penal,Pelota Parada,00:19:47,00:19:53,Rival,8,Volver
Lanus,En contra,Penal,Pelota Parada,00:20:56,00:21:02,Rival,8,Volver
Lanus,En contra,Gol,Pelota Parada,00:21:01,00:21:07,Rival,8,Volver
Lanus,En contra,Perdida,Transición,00:27:30,00:27:36,10,6,Volver
Lanus,En contra,Pase corto,Transición,00:27:35,00:27:41,Rival,6,5
Lanus,En contra,Pase largo,Transición,00:27:39,00:27:47,Rival,5,7
Lanus,En contra,Pase corto,Transición,00:27:44,00:27:50,Rival,7,8
Lanus,En contra,Remate atajado,Transición,00:27:48,00:27:54,Rival,8,8
Lanus,A favor,Corner,Pelota Parada,00:33:08,00:33:14,3,7,8
Lanus,A favor,Centro,Pelota Parada,00:33:18,00:33:24,3,7,8
Lanus,A favor,Remate Aereo,Pelota Parada,00:33:19,00:33:25,2,8,8
Lanus,En contra,Pase corto,Ataque combinado,00:33:44,00:33:53,Rival,2,1
Lanus,En contra,Pase largo,Ataque combinado,00:33:50,00:33:56,Rival,4,6
Lanus,En contra,Centro,Ataque combinado,00:33:56,00:34:07,Rival,9,8
Lanus,En contra,Disputa suelo,Ataque combinado,00:34:04,00:34:10,Rival,8,Volver
Lanus,En contra,Remate bloq,Ataque combinado,00:34:11,00:34:17,Rival,8,Volver
Lanus,En contra,Pase largo,Ataque combinado,00:35:45,00:35:51,Rival,5,7
Lanus,En contra,Gambeta,Ataque combinado,00:35:50,00:35:56,Rival,7,8
Lanus,En contra,Centro,Ataque combinado,00:35:54,00:36:00,Rival,8,9
Lanus,En contra,Remate atajado,Ataque combinado,00:36:00,00:36:06,Rival,9,8
Lanus,A favor,Recuperacion,Transición,00:37:42,00:37:48,8,5,Volver
Lanus,A favor,Remate pie,Transición,00:37:49,00:37:55,3,5,8
Lanus,A favor,Gol,Transición,00:37:52,00:37:58,3,8,Volver
Lanus,En contra,Corner,Pelota Parada,00:39:42,00:39:48,Rival,7,Volver
Lanus,En contra,Centro,Pelota Parada,00:39:46,00:39:52,Rival,7,8
Lanus,En contra,Remate Aereo,Pelota Parada,00:39:50,00:39:56,Rival,8,8
Lanus,En contra,Gol,Pelota Parada,00:39:54,00:40:00,Rival,8,Volver
Lanus,A favor,Tiro libre,Pelota Parada,00:41:53,00:41:59,10,9,Volver
Lanus,A favor,Centro,Pelota Parada,00:41:59,00:42:09,10,9,8
Lanus,A favor,Despeje,Pelota Parada,00:42:07,00:42:13,Rival,8,8
Lanus,A favor,Remate pie,Pelota Parada,00:42:10,00:42:16,3,8,8
Lanus,A favor,Gol,Pelota Parada,00:42:15,00:42:21,3,8,Volver
Lanus,A favor,Pase largo,Ataque Directo,00:44:31,00:44:37,6,5,8
Lanus,A favor,Pase corto,Ataque Directo,00:44:35,00:44:47,7,8,7
Lanus,A favor,Remate bloq,Ataque Directo,00:44:46,00:44:52,9,7,8
Tigre,A favor,Pase largo,Ataque Directo,00:26:34,00:26:40,6,4,7
Tigre,A favor,Centro,Ataque Directo,00:26:41,00:26:49,10,7,8
Tigre,A favor,Remate Aereo,Ataque Directo,00:26:47,00:26:53,9,8,8
Tigre,En contra,Recuperacion,Transición,00:27:59,00:28:05,Rival,4,Volver
Tigre,En contra,Disputa suelo,Transición,00:28:11,00:28:17,Rival,5,Volver
Tigre,En contra,Remate bloq,Transición,00:28:14,00:28:20,Rival,8,8
Tigre,En contra,Pase corto,Ataque combinado,00:33:23,00:33:29,Rival,6,5
Tigre,En contra,Pase corto,Ataque combinado,00:33:29,00:33:35,Rival,5,4
Tigre,En contra,Pase corto,Ataque combinado,00:33:40,00:33:46,Rival,4,7
Tigre,En contra,Pase corto,Ataque combinado,00:33:45,00:33:51,Rival,7,7
Tigre,En contra,Pase corto,Ataque combinado,00:33:49,00:33:55,Rival,7,8
Tigre,En contra,Remate atajado,Ataque combinado,00:33:54,00:34:02,Rival,8,8
Tigre,En contra,Pase corto,Ataque combinado,00:34:00,00:34:06,Rival,9,9
Tigre,En contra,Pase corto,Ataque combinado,00:34:05,00:34:11,Rival,9,8
Tigre,En contra,Remate atajado,Ataque combinado,00:34:10,00:34:16,Rival,8,8
Tigre,A favor,Pase corto,Ataque combinado,00:36:08,00:36:14,6,2,1
Tigre,A favor,Pase corto,Ataque combinado,00:36:13,00:36:19,3,1,4
Tigre,A favor,Pase corto,Ataque combinado,00:36:16,00:36:22,10,4,4
Tigre,A favor,Gambeta,Ataque combinado,00:36:20,00:36:26,5,4,8
Tigre,A favor,Pase corto,Ataque combinado,00:36:24,00:36:30,5,8,9
Tigre,A favor,Centro,Ataque combinado,00:36:27,00:36:33,4,9,8
Tigre,A favor,Remate Aereo,Ataque combinado,00:36:32,00:36:38,11,8,8
Tigre,En contra,Pase corto,Ataque combinado,00:38:02,00:38:08,Rival,6,5
Tigre,En contra,Pase corto,Ataque combinado,00:38:12,00:38:18,Rival,5,9
Tigre,En contra,Pase corto,Ataque combinado,00:38:17,00:38:23,Rival,9,5
Tigre,En contra,Pase corto,Ataque combinado,00:38:22,00:38:28,Rival,5,8
Tigre,En contra,Remate atajado,Ataque combinado,00:38:27,00:38:33,Rival,8,8
Tigre,En contra,Pase corto,Ataque combinado,00:46:39,00:46:45,Rival,7,4
Tigre,En contra,Pase corto,Ataque combinado,00:46:48,00:46:54,Rival,4,5
Tigre,En contra,Pase corto,Ataque combinado,00:46:52,00:46:58,Rival,5,7
Tigre,En contra,Centro,Ataque combinado,00:46:57,00:47:03,Rival,7,8
Tigre,En contra,Remate Aereo,Ataque combinado,00:47:01,00:47:07,Rival,8,8
Tigre,A favor,Lateral,Pelota Parada,00:48:50,00:48:56,4,9,Volver
Tigre,A favor,Pase corto,Pelota Parada,00:48:58,00:49:04,8,8,7
Tigre,A favor,Pase corto,Pelota Parada,00:49:02,00:49:13,3,7,7
Tigre,A favor,Centro,Pelota Parada,00:49:11,00:49:17,10,7,8
Tigre,A favor,Remate Aereo,Pelota Parada,00:49:16,00:49:22,9,8,8
Tigre,A favor,Pase corto,Ataque Directo,00:52:33,00:52:39,5,2,3
Tigre,A favor,Despeje,Ataque Directo,00:52:37,00:52:43,11,3,6
Tigre,A favor,Gambeta,Ataque Directo,00:52:42,00:52:48,9,6,9
Tigre,A favor,Disputa suelo,Ataque Directo,00:52:47,00:52:53,9,8,9
Tigre,A favor,Remate bloq,Ataque Directo,00:52:52,00:52:58,7,9,8
Tigre,En contra,Pase corto,Ataque Directo,00:58:01,00:58:07,Rival,5,4
Tigre,En contra,Pase largo,Ataque Directo,00:58:05,00:58:11,Rival,4,9
Tigre,En contra,Pase corto,Ataque Directo,00:58:11,00:58:17,Rival,9,8
Tigre,En contra,Remate bloq,Ataque Directo,00:58:16,00:58:22,Rival,8,8
Tigre,En contra,Lateral,Pelota Parada,01:58:07,01:58:13,Rival,6,Volver
Tigre,En contra,Gambeta,Pelota Parada,01:58:17,01:58:23,Rival,6,9
Tigre,En contra,Pase corto,Pelota Parada,01:58:21,01:58:27,Rival,9,9
Tigre,En contra,Remate bloq,Pelota Parada,01:58:25,01:58:31,Rival,9,8
Tigre,A favor,Pase corto,Ataque combinado,01:59:19,01:59:25,2,5,4
Tigre,A favor,Pase largo,Ataque combinado,01:59:25,01:59:31,6,4,4
Tigre,A favor,Pase corto,Ataque combinado,01:59:30,01:59:36,Suplente 2,4,7
Tigre,A favor,Pase corto,Ataque combinado,01:59:36,01:59:42,3,7,7
Tigre,A favor,Pase corto,Ataque combinado,01:59:41,01:59:47,Suplente 2,7,8
Tigre,A favor,Pase corto,Ataque combinado,01:59:48,01:59:54,9,8,8
Tigre,A favor,Remate atajado,Ataque combinado,01:59:54,02:00:00,Suplente 2,8,8
Tigre,A favor,Corner,Pelota Parada,02:00:09,02:00:15,Suplente 2,7,Volver
Tigre,A favor,Pase corto,Pelota Parada,02:00:16,02:00:22,Suplente 2,7,7
Tigre,A favor,Remate pie,Pelota Parada,02:00:21,02:00:27,8,7,8
Tigre,A favor,Gol,Pelota Parada,02:00:24,02:00:30,8,8,Volver
Tigre,A favor,Recuperacion,Transición,02:02:09,02:02:15,Suplente 1,9,Volver
Tigre,A favor,Pase corto,Transición,02:02:15,02:02:21,Suplente 1,9,8
Tigre,A favor,Remate atajado,Transición,02:02:19,02:02:25,Suplente 3,8,8
Tigre,A favor,Despeje,Ataque Directo,02:13:50,02:13:56,Suplente 4,3,6
Tigre,A favor,Pase corto,Ataque Directo,02:13:58,02:14:04,Suplente 5,6,5
Tigre,A favor,Gambeta,Ataque Directo,02:14:02,02:14:08,Suplente 1,5,8
Tigre,A favor,Pase corto,Ataque Directo,02:14:06,02:14:12,Suplente 1,8,8
Tigre,A favor,Remate bloq,Ataque Directo,02:14:10,02:14:16,Suplente 3,8,8
Tigre,A favor,Gambeta,Ataque Directo,02:15:39,02:15:45,Suplente 2,7,8
Tigre,A favor,Remate pie,Ataque Directo,02:15:42,02:15:48,Suplente 2,8,8
Tigre,A favor,Gol,Ataque Directo,02:15:47,02:15:53,Suplente 2,8,Volver
Tigre,En contra,Pase corto,Ataque combinado,02:16:45,02:16:51,Rival,4,7
Tigre,En contra,Disputa suelo,Ataque combinado,02:16:54,02:17:00,Rival,7,8
Tigre,En contra,Pase corto,Ataque combinado,02:16:58,02:17:04,Rival,8,8
Tigre,En contra,Pase corto,Ataque combinado,02:17:01,02:17:07,Rival,8,7
Tigre,En contra,Centro,Ataque combinado,02:17:04,02:17:10,Rival,7,8
Tigre,En contra,Remate pie,Ataque combinado,02:17:08,02:17:14,Rival,8,8
Tigre,En contra,Gol,Ataque combinado,02:17:12,02:17:18,Rival,8,Volver
Velez,En contra,Pase corto,Ataque combinado,00:23:25,00:23:31,Rival,5,5
Velez,En contra,Pase largo,Ataque combinado,00:23:28,00:23:34,Rival,5,9
Velez,En contra,Pase corto,Ataque combinado,00:23:34,00:23:40,Rival,9,8
Velez,En contra,Remate atajado,Ataque combinado,00:23:38,00:23:44,Rival,8,8
Velez,A favor,Tiro libre,Pelota Parada,00:25:32,00:25:38,11,4,Volver
Velez,A favor,Centro,Pelota Parada,00:25:37,00:25:43,11,4,8
Velez,A favor,Remate Aereo,Pelota Parada,00:25:40,00:25:46,6,8,8
Velez,A favor,Remate pie,Pelota Parada,00:25:43,00:25:49,9,8,8
Velez,A favor,Gol,Pelota Parada,00:25:47,00:25:53,9,8,Volver
Velez,A favor,Pase largo,Ataque Directo,00:27:43,00:27:49,4,6,9
Velez,A favor,Remate atajado,Ataque Directo,00:27:47,00:27:53,9,9,8
Velez,En contra,Recuperacion,Ataque Directo,00:34:22,00:34:28,Rival,7,Volver
Velez,En contra,Remate atajado,Ataque Directo,00:34:26,00:34:32,Rival,7,8
Velez,En contra,Gambeta,Ataque Directo,00:36:22,00:36:28,Rival,1,4
Velez,En contra,Pase corto,Ataque Directo,00:36:29,00:36:35,Rival,4,7
Velez,En contra,Gambeta,Ataque Directo,00:36:34,00:36:40,Rival,7,7
Velez,En contra,Remate atajado,Ataque Directo,00:36:38,00:36:44,Rival,7,8
Velez,En contra,Pase corto,Ataque Directo,00:53:57,00:54:03,Rival,4,5
Velez,En contra,Pase largo,Ataque Directo,00:54:02,00:54:08,Rival,5,9
Velez,En contra,Remate atajado,Ataque Directo,00:54:06,00:54:12,Rival,9,8
Velez,A favor,Tiro libre,Pelota Parada,00:59:44,00:59:50,8,5,Volver
Velez,A favor,Centro,Pelota Parada,00:59:47,00:59:53,8,5,8
Velez,A favor,Remate pie,Pelota Parada,00:59:53,00:59:59,2,8,8
Velez,A favor,Gol,Pelota Parada,00:59:57,01:00:03,2,8,Volver
Velez,A favor,Tiro libre,Pelota Parada,01:03:13,01:03:19,3,8,Volver
Velez,A favor,Remate atajado,Pelota Parada,01:03:17,01:03:23,3,8,8
Velez,En contra,Pase corto,Ataque combinado,01:26:19,01:26:25,Rival,5,5
Velez,En contra,Pase corto,Ataque combinado,01:26:25,01:26:31,Rival,8,7
Velez,En contra,Pase corto,Ataque combinado,01:26:28,01:26:34,Rival,7,8
Velez,En contra,Remate atajado,Ataque combinado,01:26:33,01:26:39,Rival,8,8
Velez,A favor,Tiro libre,Pelota Parada,02:02:34,02:02:40,3,4,Volver
Velez,A favor,Pase largo,Pelota Parada,02:02:38,02:02:44,3,4,6
Velez,A favor,Centro,Pelota Parada,02:02:42,02:02:48,4,9,7
Velez,A favor,Remate atajado,Pelota Parada,02:02:47,02:02:53,8,7,8
Velez,En contra,Recuperacion,Transición,02:26:04,02:26:10,Rival,8,Volver
Velez,En contra,Remate atajado,Transición,02:26:09,02:26:15,Rival,8,8
Velez,A favor,Pase corto,Ataque combinado,02:26:34,02:26:40,Suplente 4,7,7
Velez,A favor,Pase corto,Ataque combinado,02:26:38,02:26:44,3,7,8
Velez,A favor,Remate atajado,Ataque combinado,02:26:42,02:26:48,9,8,8
